ID,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,POLICE DISTRICT,LATITUDE,LONGITUDE
1740908-20110316,445 E OHIO ST  440,CHICAGO,IL,60611,42,66,18,41.89255916,-87.61605888
2054816-20100831,6752 W DIVERSEY AVE 1ST ,CHICAGO,IL,60707,36,19,25,41.93099897,-87.79517342
1942463-20101116,1579 N MILWAUKEE AVE 2 230,CHICAGO,IL,60622,1,8,14,41.91029087,-87.67709562
53785-20100816,3101 W 26TH ST  C-77,CHICAGO,IL,60623,12,6,10,41.8444375,-87.70262831
1974124-20101116,1700 W HUBBARD ST 1ST 1E,CHICAGO,IL,60622,26,35,12,41.8899565,-87.66961322
1445789-20110316,716 N WABASH AVE  ,CHICAGO,IL,60611,42,56,18,41.89551214,-87.62696816
1899163-20110316,444 N MICHIGAN AVE 12TH 1200,CHICAGO,IL,60611,42,48,18,41.89071448,-87.62426987
57467-20100816,1120 S HOMAN AVE  300,CHICAGO,IL,60624,24,49,11,41.86747325,-87.71072399
1922110-20100816,2756 S PULASKI RD  ,CHICAGO,IL,60623,22,17,10,41.84071325,-87.72460086
2054851-20100831,5456 - 5460 S KEDZIE AVE 1ST ,CHICAGO,IL,60632,14,34,8,41.79361539,-87.70370439
1942305-20101116,1055 N WESTERN AVE 1ST ,CHICAGO,IL,60622,1,44,12,41.90103185,-87.68682796
1891688-20110316,401 N MICHIGAN AVE 12 1240,CHICAGO,IL,60611,42,53,18,41.88935425,-87.62410246
45909-20110316,541 N FAIRBANKS CT  ,CHICAGO,IL,60611,42,41,18,41.89227497,-87.62009879
15213-20110316,900 N MICHIGAN AVE  1,CHICAGO,IL,60611,42,61,18,41.8992486,-87.62427498
2054857-20100831,1407 N WELLS ST 1ST GE,CHICAGO,IL,60610,43,54,18,41.90791056,-87.63446506
1546830-20110316,455 N CITYFRONT PLAZA DR  ,CHICAGO,IL,60611,,,18,41.89000134,-87.62143869
1903095-20110316,400 N MICHIGAN AVE 7TH 710,CHICAGO,IL,60611,42,48,18,41.88939788,-87.62439039
10305-20110316,875 N MICHIGAN AVE  2503,CHICAGO,IL,60611,42,43,18,41.89894854,-87.62397499
40250-20110316,4203 N DAMEN AVE 1ST ,CHICAGO,IL,60618,47,37,19,41.95790769,-87.6787204
1902906-20110316,610 N FAIRBANKS CT 3RD ,CHICAGO,IL,60611,42,41,18,41.89299987,-87.62041435
1947604-20101116,1579 N MILWAUKEE AVE  222,CHICAGO,IL,60622,1,8,14,41.91029087,-87.67709562
1948826-20101116,2300 W CHICAGO AVE 1 ,CHICAGO,IL,60622,32,6,12,41.89589286,-87.68452231
1892497-20100916,200 S WACKER DR 7TH 726,CHICAGO,IL,60606,2,12,1,41.87928364,-87.6371007
